Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2736","Offals, Edible","2018","2018","kcal/capita/day","24","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2740","Butter, Ghee","2018","2018","kcal/capita/day","77","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2743","Cream","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2737","Fats, Animals, Raw","2018","2018","kcal/capita/day","43","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2781","Fish, Body Oil","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2782","Fish, Liver Oil","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2744","Eggs","2018","2018","kcal/capita/day","32","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2848","Milk - Excluding Butter","2018","2018","kcal/capita/day","364","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2761","Freshwater Fish","2018","2018","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2762","Demersal Fish","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2763","Pelagic Fish","2018","2018","kcal/capita/day","15","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2764","Marine Fish, Other","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2765","Crustaceans","2018","2018","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2766","Cephalopods","2018","2018","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2767","Molluscs, Other","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2769","Aquatic Animals, Others","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2775","Aquatic Plants","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2680","Infant food","2018","2018","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2899","Miscellaneous","2018","2018","kcal/capita/day","12","Fc","Calculated data"
